mpx5500_pressure_hpa,rh_temp_c,humidity_pct,lpl_signal,mpl_signal,spl_signal,ch4_conc_mol_m3,co2_conc_mol_m3
1417.83,15.38,4.24,37085145,1437020,1173509,199.34351293239672,44161.19506706918
1461.28,15.38,4.23,37085145,1435895,1172246,202.90668914665792,44950.55669485234
1515.59,15.39,4.23,37081230,1435911,1173492,207.3532678575785,45935.621254744154
1564.46,15.41,4.25,37092075,1435716,1174696,211.34613028591733,46820.17262027388
1575.32,15.42,4.25,37101988,1435726,1176081,212.22927196293443,47015.817772187285
1645.92,15.43,4.29,37120553,1436345,1178937,218.01056338292335,48296.565434260876
1700.23,15.43,4.32,37125943,1435919,1179742,222.46355696577902,49283.051100897974
1738.24,15.48,4.33,37136082,1435796,1179742,225.54100080318548,49964.80690831041
1787.12,15.48,4.34,37152316,1436007,1183501,229.5480827441502,50852.50836717195
1825.13,15.52,4.36,37159612,1436117,1178891,232.63182497344025,51535.65947713769
1868.58,15.54,4.36,37169240,1435986,1185778,236.17691000098304,52321.01330745649
1912.02,15.56,4.37,37182929,1436333,1183248,239.72068431416497,53106.07677110263
1933.75,15.6,4.38,37197337,1436536,1191112,241.46811668004835,53493.19095626529
1960.9,15.6,4.39,37203505,1436536,1191112,243.69289291415825,53986.05262911253
1955.47,15.65,4.39,37212642,1436861,1193473,243.2058241047208,53878.1507446306
1971.76,15.66,4.39,37231082,1437631,1194645,244.53199156539898,54171.940791074056
2009.78,15.69,4.39,37237346,1437876,1195102,247.6211289626916,54856.287109567405
2036.93,15.71,4.37,37237346,1437551,1195102,249.82791327003764,55345.16297432005
2026.07,15.71,4.39,37246595,1437846,1197300,248.93834166081626,55148.09337931259
2009.78,15.76,4.38,37267149,1438876,1194382,247.56113284269787,54842.995980504136
1993.48,15.78,4.38,37270393,1439415,1199050,246.2091433706513,54543.48550270935
1988.05,15.79,4.37,37271196,1439383,1199953,245.75595959909472,54443.09027718863
1998.91,15.8,4.37,37263967,1439185,1190065,246.63674899325875,54638.214320487066
2020.64,15.81,4.37,37263967,1439185,1196681,248.4075600243063,55030.507654835645
2020.64,15.83,4.38,37252639,1438244,1196904,248.39036799994307,55026.6990516344
1988.05,15.84,4.37,37252639,1438384,1210056,245.7134397957107,54433.67073148167
1993.48,15.87,4.37,37252639,1438384,1209291,246.1324745487588,54526.500817582906
1998.91,15.88,4.37,37254959,1438155,1200849,246.56848293119097,54623.091125159124
2004.34,15.9,4.38,37254959,1437795,1201469,246.99591575548166,54717.78166238253
2004.34,15.91,4.38,37255650,1437795,1201469,246.98737095800863,54715.88870653729
2004.34,15.93,4.39,37258533,1438070,1201469,246.97028313657802,54712.103187739274
2004.34,15.95,4.39,37262251,1438260,1203398,246.95319767942573,54708.318192707266
2004.34,15.96,4.39,37262404,1438170,1203364,246.9446558373006,54706.42589156954
2004.34,15.97,4.39,37263299,1438127,1196186,246.93611458606102,54704.53372133255
2004.34,15.98,4.41,37265291,1438081,1205455,246.92757392564582,54702.641681982735
2004.34,16.0,4.41,37269093,1437925,1205112,246.910494377043,54698.85799589026
2004.34,16.02,4.42,37269895,1437884,1205112,246.89341719100173,54695.07483318349
2004.34,16.04,4.42,37272390,1438106,1206299,246.87634236703195,54691.29219375382
2004.34,16.04,4.42,37274061,1437858,1215562,246.87634236703195,54691.29219375382
2004.34,16.06,4.42,37276544,1437896,1207535,246.85926990464358,54687.51007749271
1998.91,16.08,4.43,37278589,1437915,1218864,246.39798299485574,54585.31973828698
1998.91,16.08,4.43,37282773,1437915,1217129,246.39798299485574,54585.31973828698
1998.91,16.13,4.43,37283814,1438064,1209995,246.3553948479056,54575.88505221495
2004.34,16.13,4.43,37285341,1438027,1209995,246.79953487666612,54674.27678896456
1998.91,16.15,4.44,37286167,1438037,1210636,246.33836371103396,54572.11209092548
1998.91,16.16,4.44,37286560,1438102,1211384,246.32984902562,54570.22580589935
1998.91,16.17,4.44,37288069,1437958,1219438,246.32133492880587,54568.33965126759
1998.91,16.18,4.44,37290241,1437890,1211428,246.31282142053064,54566.453627016694
1998.91,16.2,4.44,37293902,1437933,1220901,246.29579616935243,54562.68196960339
1998.91,16.21,4.44,37296523,1438060,1213607,246.28728442632752,54560.79633641396
1998.91,16.23,4.45,37297976,1437885,1218910,246.27026270510098,54557.02546100193
