mpx5500_pressure_hpa,rh_temp_c,humidity_pct,lpl_signal,mpl_signal,spl_signal,ch4_conc_mol_m3,co2_conc_mol_m3,ch4_ppm,co2_ppm
1988.05,15.56,3.88,37076938,1451731,1196204,224.55723966589431,47462.4845897548,1.79608,379.62
1988.05,15.57,3.89,37081162,1451869,1194945,224.54946198372244,47460.840696550666,1.79608,379.62
1982.62,15.57,3.89,37076451,1451911,1194945,224.14316965984528,47374.96663081291,1.79608,379.62
1982.62,15.6,3.89,37076451,1451749,1196186,224.11988205780267,47370.04455635777,1.79608,379.62
1982.62,15.62,3.9,37078754,1451934,1196186,224.10435967791153,47366.76374155315,1.79608,379.62
1982.62,15.63,3.9,37080271,1451856,1196186,224.09659929423967,47365.12350456509,1.79608,379.62
1982.62,15.63,3.9,37079270,1451983,1196870,224.09659929423967,47365.12350456509,1.79608,379.62
1982.62,15.63,3.9,37080202,1451991,1195813,224.09659929423967,47365.12350456509,1.79608,379.62
1977.19,15.65,3.92,37083702,1451991,1193808,223.6749003616368,47275.993093450496,1.79608,379.62
1977.19,15.66,3.92,37084398,1451961,1196387,223.66715565403095,47274.356169760395,1.79608,379.62
1977.19,15.66,3.92,37082832,1452009,1197840,223.66715565403095,47274.356169760395,1.79608,379.62
1982.62,15.67,3.92,37083879,1451959,1196698,224.06556313340667,47358.563692432326,1.79608,379.62
1977.19,15.68,3.94,37086602,1452088,1198645,223.6516678476637,47271.08266242601,1.79608,379.62
1977.19,15.68,3.94,37085894,1452162,1195695,223.6516678476637,47271.08266242601,1.79608,379.62
1977.19,15.7,3.94,37090772,1452177,1197859,223.63618218605055,47267.80960840749,1.79608,379.62
1977.19,15.71,3.94,37090459,1452202,1195880,223.6284401593876,47266.17325136226,1.79608,379.62
1977.19,15.71,3.94,37090305,1452243,1196872,223.6284401593876,47266.17325136226,1.79608,379.62
1977.19,15.72,3.95,37089754,1452242,1197335,223.62069866874617,47264.53700761069,1.79608,379.62
1982.62,15.72,3.95,37089754,1452242,1196906,224.02678001935303,47350.366481975645,1.79608,379.62
1977.19,15.73,3.95,37092561,1452161,1198144,223.61295771407052,47262.90087714103,1.79608,379.62
1977.19,15.74,3.95,37095248,1452279,1198144,223.60521729530512,47261.264859941504,1.79608,379.62
1977.19,15.75,3.95,37095248,1452249,1197877,223.59747741239428,47259.62895600036,1.79608,379.62
1977.19,15.75,3.96,37096476,1452249,1197877,223.59747741239428,47259.62895600036,1.79608,379.62
1977.19,15.77,3.96,37096476,1452213,1198766,223.5819992539136,47256.35748784613,1.79608,379.62
1977.19,15.79,3.97,37098710,1452339,1199935,223.56652323818335,47253.08647258428,1.79608,379.62
1977.19,15.8,3.97,37100845,1452212,1200255,223.55878603371067,47251.45113475861,1.79608,379.62
1977.19,15.8,3.97,37102250,1452246,1200886,223.55878603371067,47251.45113475861,1.79608,379.62
1977.19,15.81,3.97,37103128,1452166,1200886,223.5510493647588,47249.815910120786,1.79608,379.62
1977.19,15.82,3.97,37103859,1452415,1201973,223.5433132312721,47248.18079865904,1.79608,379.62
1977.19,15.83,3.97,37103859,1452341,1201135,223.53557763319503,47246.54580036162,1.79608,379.62
1971.76,15.85,3.97,37103859,1452366,1201135,223.114209358792,47157.485277261934,1.79608,379.62
1971.76,15.86,3.97,37111289,1452462,1202282,223.1064894110615,47155.85358682641,1.79608,379.62
1971.76,15.87,3.97,37109204,1452292,1205079,223.09876999754647,47154.222009302815,1.79608,379.62
1971.76,15.88,3.99,37111503,1452526,1201920,223.09105111819147,47152.59054467944,1.79608,379.62
1971.76,15.89,3.99,37113014,1452405,1203009,223.08333277294105,47150.959192944574,1.79608,379.62
1977.19,15.89,3.99,37114521,1452405,1203009,223.48917528522247,47236.73818637041,1.79608,379.62
1971.76,15.9,3.99,37113017,1452331,1204405,223.07561496173977,47149.32795408649,1.79608,379.62
1977.19,15.91,3.99,37114563,1452322,1204840,223.4737121166564,47233.46988648897,1.79608,379.62
