mpx5500_pressure_hpa,rh_temp_c,humidity_pct,lpl_signal,mpl_signal,spl_signal,ch4_ppm,co2_ppm
1993.48,17.7,8.7,37596009,1420826,1281078,2.2981,450.1
1998.91,17.72,8.68,37596009,1420939,1277833,2.2981,450.1
1993.48,17.73,8.68,37596009,1420939,1277609,2.2981,450.1
1993.48,17.73,8.68,37600434,1420921,1278037,2.2981,450.1
1993.48,17.76,8.61,37602000,1421051,1279476,2.2981,450.1
1998.91,17.77,8.61,37605111,1421073,1291713,2.2981,450.1
1993.48,17.79,8.58,37606188,1421275,1280330,2.2981,450.1
1993.48,17.79,8.56,37608383,1421603,1272983,2.2981,450.1
1993.48,17.81,8.56,37608383,1421397,1272983,2.2981,450.1
1993.48,17.83,8.56,37612835,1421654,1282156,2.2981,450.1
1993.48,17.84,8.56,37615334,1421452,1295886,2.2981,450.1
1993.48,17.84,8.5,37616390,1421844,1282763,2.2981,450.1
1993.48,17.86,8.49,37616930,1422049,1281384,2.2981,450.1
1993.48,17.87,8.46,37619373,1421886,1283915,2.2981,450.1
1993.48,17.88,8.45,37622657,1422187,1274962,2.2981,450.1
1993.48,17.9,8.45,37622657,1422187,1285083,2.2981,450.1
1993.48,17.92,8.42,37626245,1422309,1284922,2.2981,450.1
1993.48,17.93,8.41,37626245,1422366,1284922,2.2981,450.1
1993.48,17.94,8.4,37626245,1422402,1287683,2.2981,450.1
1993.48,17.96,8.36,37632083,1422402,1287683,2.2981,450.1
1993.48,17.97,8.36,37635377,1422650,1289047,2.2981,450.1
1993.48,17.99,8.34,37635377,1422885,1289047,2.2981,450.1
1993.48,17.99,8.31,37641366,1422899,1289142,2.2981,450.1
1993.48,18.01,8.29,37641294,1422864,1287885,2.2981,450.1
1993.48,18.02,8.28,37644283,1423172,1290927,2.2981,450.1
1993.48,18.04,8.27,37644283,1423290,1291042,2.2981,450.1
1993.48,18.05,8.25,37648890,1423359,1291891,2.2981,450.1
1993.48,18.06,8.24,37652595,1423437,1293633,2.2981,450.1
1993.48,18.07,8.24,37652595,1423844,1296193,2.2981,450.1
1993.48,18.09,8.24,37657058,1423724,1293855,2.2981,450.1
